system,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
whisper,0.0,4.502737948901391,4.502737948901391,0.8250390473990082,0.8250390473990082
seamlessm4t,0.11560693641618498,3.878895039124296,3.878895039124296,0.8536645221744659,0.8534847099829271
canary-v2,0.0,4.753294505066954,4.753294505066954,0.7999036191860376,0.7999036191860376
owsm4.0-ctc,0.23121387283236997,11.568996173832458,11.599539987648154,0.407508958380594,0.40658662267045437
gemma_whisper,,,,,
tower_whisper,0.0,2.6636112425368643,2.6636112425368643,0.8949877220426681,0.8949877220426681
aya_whisper,,,,,
aya_seamlessm4t,,,,,
gemma_seamlessm4t,,,,,
tower_seamlessm4t,0.0,3.0260062997740818,3.0260062997740818,0.8804994091477697,0.8804994091477697
aya_canary-v2,,,,,
gemma_canary-v2,,,,,
tower_canary-v2,0.0,3.0169038914531643,3.0169038914531643,0.877504088785607,0.877504088785607
aya_owsm4.0-ctc,,,,,
gemma_owsm4.0-ctc,,,,,
tower_owsm4.0-ctc,,,,,
desta2-8b,0.11560693641618498,6.137913516077692,6.147098552973973,0.654506977449435,0.6544005501003279
qwen2audio-7b,1.5028901734104045,5.570128973818928,5.745943142120549,0.7252007484866705,0.716185516179297
phi4multimodal,5.202312138728324,3.8720424900681985,4.041151228168107,0.9022278614988217,0.8536109463758551
voxtral-small-24b,0.0,2.296436463373934,2.296436463373934,0.9120035867987341,0.9120035867987341
spirelm,,,,,
